Kinetic,Collision,Radiative,Total, D_Effect
7.300E-01, 1.971E+00, 7.481E-03, 1.978E+00, 2.160E-01
7.400E-01, 1.967E+00, 7.568E-03, 1.975E+00, 2.232E-01
7.500E-01, 1.964E+00, 7.656E-03, 1.971E+00, 2.304E-01
7.600E-01, 1.960E+00, 7.744E-03, 1.968E+00, 2.376E-01
7.700E-01, 1.957E+00, 7.833E-03, 1.965E+00, 2.448E-01
7.800E-01, 1.954E+00, 7.921E-03, 1.962E+00, 2.520E-01
7.900E-01, 1.951E+00, 8.011E-03, 1.959E+00, 2.592E-01
8.000E-01, 1.948E+00, 8.101E-03, 1.956E+00, 2.664E-01
8.100E-01, 1.945E+00, 8.191E-03, 1.953E+00, 2.737E-01
8.200E-01, 1.942E+00, 8.281E-03, 1.951E+00, 2.809E-01
8.300E-01, 1.940E+00, 8.372E-03, 1.948E+00, 2.881E-01
8.400E-01, 1.937E+00, 8.463E-03, 1.946E+00, 2.954E-01
8.500E-01, 1.935E+00, 8.555E-03, 1.943E+00, 3.026E-01
8.600E-01, 1.932E+00, 8.647E-03, 1.941E+00, 3.098E-01
8.700E-01, 1.930E+00, 8.740E-03, 1.939E+00, 3.171E-01
8.800E-01, 1.928E+00, 8.833E-03, 1.937E+00, 3.243E-01
8.900E-01, 1.926E+00, 8.926E-03, 1.935E+00, 3.315E-01
9.000E-01, 1.924E+00, 9.020E-03, 1.933E+00, 3.387E-01
9.100E-01, 1.922E+00, 9.114E-03, 1.931E+00, 3.459E-01
9.200E-01, 1.920E+00, 9.208E-03, 1.929E+00, 3.531E-01
9.300E-01, 1.918E+00, 9.303E-03, 1.927E+00, 3.603E-01
9.400E-01, 1.916E+00, 9.398E-03, 1.925E+00, 3.675E-01
9.500E-01, 1.914E+00, 9.493E-03, 1.924E+00, 3.746E-01
9.600E-01, 1.913E+00, 9.589E-03, 1.922E+00, 3.818E-01
9.700E-01, 1.911E+00, 9.685E-03, 1.921E+00, 3.890E-01
9.800E-01, 1.909E+00, 9.782E-03, 1.919E+00, 3.961E-01
9.900E-01, 1.908E+00, 9.879E-03, 1.918E+00, 4.032E-01
1.000E+00, 1.907E+00, 9.976E-03, 1.916E+00, 4.103E-01
1.100E+00, 1.894E+00, 1.097E-02, 1.905E+00, 4.808E-01
1.200E+00, 1.886E+00, 1.199E-02, 1.898E+00, 5.496E-01
1.300E+00, 1.880E+00, 1.304E-02, 1.893E+00, 6.167E-01
1.400E+00, 1.876E+00, 1.411E-02, 1.890E+00, 6.819E-01
1.500E+00, 1.874E+00, 1.522E-02, 1.889E+00, 7.451E-01
1.600E+00, 1.872E+00, 1.634E-02, 1.889E+00, 8.065E-01
1.700E+00, 1.872E+00, 1.749E-02, 1.890E+00, 8.660E-01
1.800E+00, 1.872E+00, 1.866E-02, 1.891E+00, 9.237E-01
1.900E+00, 1.873E+00, 1.984E-02, 1.893E+00, 9.796E-01
